,label,proportion,split,group,question
237,Se soucie de ses proches,0.18269230769230768,gender,Homme Sunnu,traits
238,Encourage les bons comportements,0.0948905109489051,gender,Femme Nyɔnu,traits
239,Encourage les bons comportements,0.19230769230769232,gender,Homme Sunnu,traits
240,Courageux,0.038929440389294405,gender,Femme Nyɔnu,traits
241,Courageux,0.17067307692307693,gender,Homme Sunnu,traits
242,Accueille tout le monde,0.07542579075425791,gender,Femme Nyɔnu,traits
243,Accueille tout le monde,0.18509615384615385,gender,Homme Sunnu,traits
244,A des enfants bien éduqués,0.019464720194647202,gender,Femme Nyɔnu,traits
245,A des enfants bien éduqués,0.0625,gender,Homme Sunnu,traits
246,Riche,0.0024330900243309003,gender,Femme Nyɔnu,traits
247,Riche,0.12740384615384615,gender,Homme Sunnu,traits
248,Ne se plaint jamais,0.021897810218978103,gender,Femme Nyɔnu,traits
249,Ne se plaint jamais,0.057692307692307696,gender,Homme Sunnu,traits
250,Prend bien soin de sa famille,0.15085158150851583,gender,Femme Nyɔnu,traits
251,Prend bien soin de sa famille,0.24278846153846154,gender,Homme Sunnu,traits
252,Préfère ne pas répondre,0.0,age_group,16-20,traits
253,Préfère ne pas répondre,0.015151515151515152,age_group,21-30,traits
254,Préfère ne pas répondre,0.01282051282051282,age_group,31-45,traits
255,Je ne sais pas,0.13793103448275862,age_group,16-20,traits
256,Je ne sais pas,0.05757575757575758,age_group,21-30,traits
257,Je ne sais pas,0.06196581196581197,age_group,31-45,traits
258,Autre,0.13793103448275862,age_group,16-20,traits
259,Autre,0.3151515151515151,age_group,21-30,traits
260,Autre,0.391025641025641,age_group,31-45,traits
261,Calme,0.0,age_group,16-20,traits
262,Calme,0.06666666666666667,age_group,21-30,traits
263,Calme,0.07478632478632478,age_group,31-45,traits
264,Ne se mêle pas des affaires des autres,0.0,age_group,16-20,traits
265,Ne se mêle pas des affaires des autres,0.04242424242424243,age_group,21-30,traits
266,Ne se mêle pas des affaires des autres,0.057692307692307696,age_group,31-45,traits
267,Sociable,0.034482758620689655,age_group,16-20,traits
268,Sociable,0.31212121212121213,age_group,21-30,traits
269,Sociable,0.33547008547008544,age_group,31-45,traits
270,Gentillesse,0.27586206896551724,age_group,16-20,traits
271,Gentillesse,0.12121212121212122,age_group,21-30,traits
272,Gentillesse,0.11965811965811966,age_group,31-45,traits
273,N'aime pas les choses matérielles,0.0,age_group,16-20,traits
274,N'aime pas les choses matérielles,0.01818181818181818,age_group,21-30,traits
275,N'aime pas les choses matérielles,0.010683760683760684,age_group,31-45,traits
276,Ne fait pas de bruit,0.06896551724137931,age_group,16-20,traits
277,Ne fait pas de bruit,0.030303030303030304,age_group,21-30,traits
278,Ne fait pas de bruit,0.038461538461538464,age_group,31-45,traits
279,Patience,0.10344827586206896,age_group,16-20,traits
280,Patience,0.15757575757575756,age_group,21-30,traits
281,Patience,0.19017094017094016,age_group,31-45,traits
282,Endurance,0.034482758620689655,age_group,16-20,traits
283,Endurance,0.08181818181818182,age_group,21-30,traits
284,Endurance,0.09615384615384616,age_group,31-45,traits
285,Honnêteté,0.20689655172413793,age_group,16-20,traits
286,Honnêteté,0.30606060606060603,age_group,21-30,traits
287,Honnêteté,0.3547008547008547,age_group,31-45,traits
288,Respect,0.20689655172413793,age_group,16-20,traits
289,Respect,0.3696969696969697,age_group,21-30,traits
290,Respect,0.3525641025641026,age_group,31-45,traits
291,Éducation,0.20689655172413793,age_group,16-20,traits
292,Éducation,0.2909090909090909,age_group,21-30,traits
293,Éducation,0.297008547008547,age_group,31-45,traits
294,Sincère,0.1724137931034483,age_group,16-20,traits
295,Sincère,0.24545454545454545,age_group,21-30,traits
296,Sincère,0.2222222222222222,age_group,31-45,traits
297,Pardonne facilement,0.06896551724137931,age_group,16-20,traits
298,Pardonne facilement,0.08484848484848485,age_group,21-30,traits
299,Pardonne facilement,0.0405982905982906,age_group,31-45,traits
300,Discipline,0.10344827586206896,age_group,16-20,traits
301,Discipline,0.20303030303030303,age_group,21-30,traits
302,Discipline,0.23717948717948717,age_group,31-45,traits
303,Bon croyant,0.034482758620689655,age_group,16-20,traits
304,Bon croyant,0.05757575757575758,age_group,21-30,traits
305,Bon croyant,0.07051282051282051,age_group,31-45,traits
306,Bon comportement,0.06896551724137931,age_group,16-20,traits
307,Bon comportement,0.3303030303030303,age_group,21-30,traits
308,Bon comportement,0.33547008547008544,age_group,31-45,traits
309,Issu d'une bonne lignée et d'un bon statut social,0.0,age_group,16-20,traits
310,Issu d'une bonne lignée et d'un bon statut social,0.00909090909090909,age_group,21-30,traits
311,Issu d'une bonne lignée et d'un bon statut social,0.014957264957264958,age_group,31-45,traits
312,Bon cœur,0.13793103448275862,age_group,16-20,traits
313,Bon cœur,0.26666666666666666,age_group,21-30,traits
314,Bon cœur,0.29273504273504275,age_group,31-45,traits
315,Bonne personnalité,0.13793103448275862,age_group,16-20,traits
316,Bonne personnalité,0.2787878787878788,age_group,21-30,traits
317,Bonne personnalité,0.297008547008547,age_group,31-45,traits
318,Aidant les autres,0.10344827586206896,age_group,16-20,traits
319,Aidant les autres,0.23030303030303031,age_group,21-30,traits
320,Aidant les autres,0.28205128205128205,age_group,31-45,traits
321,Respectable,0.13793103448275862,age_group,16-20,traits
322,Respectable,0.26666666666666666,age_group,21-30,traits
323,Respectable,0.25213675213675213,age_group,31-45,traits
324,Fiabilité,0.034482758620689655,age_group,16-20,traits
325,Fiabilité,0.13333333333333333,age_group,21-30,traits
326,Fiabilité,0.1581196581196581,age_group,31-45,traits
327,À l'écoute,0.5517241379310345,age_group,16-20,traits
328,À l'écoute,0.44242424242424244,age_group,21-30,traits
329,À l'écoute,0.43803418803418803,age_group,31-45,traits
330,Religieux,0.06896551724137931,age_group,16-20,traits
331,Religieux,0.04242424242424243,age_group,21-30,traits
332,Religieux,0.07264957264957266,age_group,31-45,traits
333,Soigné,0.0,age_group,16-20,traits
334,Soigné,0.06363636363636363,age_group,21-30,traits
335,Soigné,0.07692307692307693,age_group,31-45,traits
336,Se soucie de ses proches,0.06896551724137931,age_group,16-20,traits
337,Se soucie de ses proches,0.14242424242424243,age_group,21-30,traits
