,method,proportion,method_type,split,group,label
291,,0.0019608116961815905,ever,gender,Homme Sunnu,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
292,,0.11647021558323366,ever,gender,Homme Sunnu,Implants
293,,0.20859618846947392,ever,gender,Homme Sunnu,Injectables
294,,0.0,ever,gender,Homme Sunnu,Je ne sais pas
295,,0.0020799416239987833,ever,gender,Homme Sunnu,Je préfère ne pas répondre
296,,0.007119651355083037,ever,gender,Homme Sunnu,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
297,,0.013060288311046352,ever,gender,Homme Sunnu,Méthode des jours fixes (collier de perles)
298,,0.046404527899707934,ever,gender,Homme Sunnu,Méthode du calendrier (aussi appelée “méthode Ogino”)
299,,0.0031844040022345386,ever,gender,Homme Sunnu,"Méthodes de barrière vaginale (y compris le diaphragme, la cape cervicale et les agents spermicides)"
300,,0.0,ever,gender,Homme Sunnu,Patch contraceptif
301,,0.025845807840267767,ever,gender,Homme Sunnu,Pilules contraceptives d'urgence
302,,0.013004694620270337,ever,gender,Homme Sunnu,Pilules contraceptives orales
303,,0.10993287391388061,ever,gender,Homme Sunnu,Préservatifs
304,,0.035386574267999515,ever,gender,Homme Sunnu,Retrait
305,,0.0,ever,gender,Homme Sunnu,Stérilisation
306,,0.0,ever,age_group,16-20,Abstinence
307,,0.0,ever,age_group,16-20,Anneau vaginal
308,,0.0,ever,age_group,16-20,Autre : veuillez préciser
309,,0.0,ever,age_group,16-20,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
310,,0.042031076997468296,ever,age_group,16-20,Implants
311,,0.18417603183426567,ever,age_group,16-20,Injectables
312,,0.0,ever,age_group,16-20,Je ne sais pas
313,,0.0,ever,age_group,16-20,Je préfère ne pas répondre
314,,0.002265461445512509,ever,age_group,16-20,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
315,,0.0,ever,age_group,16-20,Méthode des jours fixes (collier de perles)
316,,0.0,ever,age_group,16-20,Méthode du calendrier (aussi appelée “méthode Ogino”)
317,,0.0,ever,age_group,16-20,"Méthodes de barrière vaginale (y compris le diaphragme, la cape cervicale et les agents spermicides)"
318,,0.0,ever,age_group,16-20,Patch contraceptif
319,,0.0,ever,age_group,16-20,Pilules contraceptives d'urgence
320,,0.036338589970840406,ever,age_group,16-20,Pilules contraceptives orales
321,,0.0,ever,age_group,16-20,Préservatifs
322,,0.0,ever,age_group,16-20,Retrait
323,,0.0,ever,age_group,16-20,Stérilisation
324,,0.023809216526818545,ever,age_group,21-30,Abstinence
325,,0.0,ever,age_group,21-30,Anneau vaginal
326,,0.0007888826849254157,ever,age_group,21-30,Autre : veuillez préciser
327,,0.0,ever,age_group,21-30,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
328,,0.11191381781179559,ever,age_group,21-30,Implants
329,,0.19657336855961363,ever,age_group,21-30,Injectables
330,,0.0,ever,age_group,21-30,Je ne sais pas
331,,0.0,ever,age_group,21-30,Je préfère ne pas répondre
332,,0.0,ever,age_group,21-30,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
333,,0.0039004271799212135,ever,age_group,21-30,Méthode des jours fixes (collier de perles)
334,,0.027418137081007425,ever,age_group,21-30,Méthode du calendrier (aussi appelée “méthode Ogino”)
335,,0.0,ever,age_group,21-30,"Méthodes de barrière vaginale (y compris le diaphragme, la cape cervicale et les agents spermicides)"
336,,0.0,ever,age_group,21-30,Patch contraceptif
337,,0.014718852974258831,ever,age_group,21-30,Pilules contraceptives d'urgence
338,,0.016694444626154933,ever,age_group,21-30,Pilules contraceptives orales
339,,0.0689178101806654,ever,age_group,21-30,Préservatifs
340,,0.029836337259590756,ever,age_group,21-30,Retrait
341,,0.0,ever,age_group,21-30,Stérilisation
342,,0.01848821753417605,ever,age_group,31-45,Abstinence
343,,0.002559931565133736,ever,age_group,31-45,Anneau vaginal
344,,0.04863543847047886,ever,age_group,31-45,Autre : veuillez préciser
345,,0.02317623649887611,ever,age_group,31-45,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
346,,0.28197213390070974,ever,age_group,31-45,Implants
347,,0.21506642917044588,ever,age_group,31-45,Injectables
348,,0.00030256038344063065,ever,age_group,31-45,Je ne sais pas
349,,0.0015302541371318948,ever,age_group,31-45,Je préfère ne pas répondre
350,,0.006498448754104558,ever,age_group,31-45,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
351,,0.01006525654128182,ever,age_group,31-45,Méthode des jours fixes (collier de perles)
352,,0.03211539524991071,ever,age_group,31-45,Méthode du calendrier (aussi appelée “méthode Ogino”)
353,,0.00234282892485718,ever,age_group,31-45,"Méthodes de barrière vaginale (y compris le diaphragme, la cape cervicale et les agents spermicides)"
354,,0.0025723096700946252,ever,age_group,31-45,Patch contraceptif
355,,0.01593247454438459,ever,age_group,31-45,Pilules contraceptives d'urgence
356,,0.03022355370262755,ever,age_group,31-45,Pilules contraceptives orales
357,,0.05291004333467832,ever,age_group,31-45,Préservatifs
358,,0.01725467750766349,ever,age_group,31-45,Retrait
359,,0.0005456252044698111,ever,age_group,31-45,Stérilisation
360,Implants,0.10664405197737216,current,none,all,
361,Injectables,0.06738614425324813,current,none,all,
362,Préservatifs,0.04983616432103075,current,none,all,
363,Méthode du calendrier (aussi appelée “méthode Ogino”),0.024426346430922237,current,none,all,
364,Autre : veuillez préciser,0.019234181116669163,current,none,all,
365,Pilules contraceptives d'urgence,0.017004908741495562,current,none,all,
366,Retrait,0.016511734092999688,current,none,all,
367,Pilules contraceptives orales,0.014675184919491758,current,none,all,
368,Dispositifs intra-utérins DIU (aussi appelés “stérilets”),0.014289082908225557,current,none,all,
369,Abstinence,0.009361428622721829,current,none,all,
370,Méthode des jours fixes (collier de perles),0.0035071433059610598,current,none,all,
371,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”),0.0013681241770186793,current,none,all,
372,Je préfère ne pas répondre,0.0003401592411054265,current,none,all,
373,,0.0,current,use,future_user,Implants
374,,0.0,current,use,future_user,Injectables
375,,0.0,current,use,future_user,Préservatifs
376,,0.0,current,use,future_user,Méthode du calendrier (aussi appelée “méthode Ogino”)
377,,0.0,current,use,future_user,Autre : veuillez préciser
378,,0.0,current,use,future_user,Pilules contraceptives d'urgence
379,,0.0,current,use,future_user,Retrait
380,,0.0,current,use,future_user,Pilules contraceptives orales
381,,0.0,current,use,future_user,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
382,,0.0,current,use,future_user,Abstinence
383,,0.0,current,use,future_user,Méthode des jours fixes (collier de perles)
384,,0.0,current,use,future_user,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
385,,0.0,current,use,future_user,Je préfère ne pas répondre
386,,0.0,current,use,nonuser,Implants
387,,0.0,current,use,nonuser,Injectables
388,,0.0,current,use,nonuser,Préservatifs
389,,0.0,current,use,nonuser,Méthode du calendrier (aussi appelée “méthode Ogino”)
390,,0.0,current,use,nonuser,Autre : veuillez préciser
391,,0.0,current,use,nonuser,Pilules contraceptives d'urgence
392,,0.0,current,use,nonuser,Retrait
393,,0.0,current,use,nonuser,Pilules contraceptives orales
394,,0.0,current,use,nonuser,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
395,,0.0,current,use,nonuser,Abstinence
396,,0.0,current,use,nonuser,Méthode des jours fixes (collier de perles)
397,,0.0,current,use,nonuser,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
398,,0.0,current,use,nonuser,Je préfère ne pas répondre
399,,0.0,current,use,past_user,Implants
400,,0.0,current,use,past_user,Injectables
401,,0.0,current,use,past_user,Préservatifs
402,,0.0,current,use,past_user,Méthode du calendrier (aussi appelée “méthode Ogino”)
403,,0.0,current,use,past_user,Autre : veuillez préciser
404,,0.0,current,use,past_user,Pilules contraceptives d'urgence
405,,0.0,current,use,past_user,Retrait
406,,0.0,current,use,past_user,Pilules contraceptives orales
407,,0.0,current,use,past_user,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
408,,0.0,current,use,past_user,Abstinence
409,,0.0,current,use,past_user,Méthode des jours fixes (collier de perles)
410,,0.0,current,use,past_user,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
411,,0.0,current,use,past_user,Je préfère ne pas répondre
412,,0.3591590458850605,current,use,user,Implants
413,,0.22694508345392697,current,use,user,Injectables
414,,0.16783973317058837,current,use,user,Préservatifs
415,,0.08226378420476217,current,use,user,Méthode du calendrier (aussi appelée “méthode Ogino”)
416,,0.06477745368967337,current,use,user,Autre : veuillez préciser
417,,0.05726964313259552,current,use,user,Pilules contraceptives d'urgence
418,,0.05560871471770313,current,use,user,Retrait
419,,0.04942352917150819,current,use,user,Pilules contraceptives orales
420,,0.04812320320480453,current,use,user,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
421,,0.03152770088829025,current,use,user,Abstinence
422,,0.011811462713536232,current,use,user,Méthode des jours fixes (collier de perles)
