,label,split,group,weighted_agreement,agree_n,agree_pct,agree_weighted_n,disagree_n,disagree_pct,disagree_weighted_n,total_n,total_weighted_n
351,Je sais pourquoi je n'utilise pas de contraception.,age_group,31-45,0.6372722030754845,301.0,0.9148936170212766,478369.96132884733,28.0,0.0851063829787234,35395.69595703988,386.0,695109.975351204
352,Je suis convaincue que je pourrais choisir la méthode contraceptive qui me convient.,age_group,16-20,-0.21459927981674776,5.0,0.35714285714285715,10575.710008351669,9.0,0.6428571428571429,20832.47363330776,22.0,47794.95827625621
353,Je suis convaincue que je pourrais choisir la méthode contraceptive qui me convient.,age_group,21-30,0.028257710523148138,147.0,0.6336206896551724,153428.344280785,85.0,0.36637931034482757,144063.55059946192,289.0,331406.6677005424
354,Je suis convaincue que je pourrais choisir la méthode contraceptive qui me convient.,age_group,31-45,0.31708838025503416,198.0,0.668918918918919,375529.5481668876,98.0,0.3310810810810811,155118.25198365762,386.0,695109.975351204
355,Je suis convaincue que les contraceptifs “modernes” peuvent être utilisés en toute sécurité dans le corps.,age_group,16-20,0.16259714125843536,5.0,0.7142857142857143,23257.895755860984,2.0,0.2857142857142857,15486.572173575529,22.0,47794.95827625621
356,Je suis convaincue que les contraceptifs “modernes” peuvent être utilisés en toute sécurité dans le corps.,age_group,21-30,0.035655325569351116,116.0,0.6408839779005525,124928.47843895717,65.0,0.35911602209944754,113112.0658062406,289.0,331406.6677005424
357,Je suis convaincue que les contraceptifs “modernes” peuvent être utilisés en toute sécurité dans le corps.,age_group,31-45,0.12691151522962657,141.0,0.5850622406639004,322263.3348422998,100.0,0.4149377593360996,234045.87461925013,386.0,695109.975351204
358,L'utilisation de contraceptifs n'encourage pas la promiscuité/l’adultère.,age_group,16-20,0.4123721789030362,5.0,0.5,22055.464486658115,5.0,0.5,2346.1534016986357,22.0,47794.95827625621
359,L'utilisation de contraceptifs n'encourage pas la promiscuité/l’adultère.,age_group,21-30,0.17780136187870896,102.0,0.5543478260869565,97441.04337321421,82.0,0.44565217391304346,38516.48652037302,289.0,331406.6677005424
360,L'utilisation de contraceptifs n'encourage pas la promiscuité/l’adultère.,age_group,31-45,0.06741443855510783,151.0,0.569811320754717,289950.3492811024,114.0,0.43018867924528303,243089.9005587462,386.0,695109.975351204
361,L'utilisation de contraceptifs peut entraîner des problèmes cardiaques soudains.,age_group,16-20,-0.2967369313304639,3.0,0.75,668.9600898208548,1.0,0.25,14851.489341784683,22.0,47794.95827625621
362,L'utilisation de contraceptifs peut entraîner des problèmes cardiaques soudains.,age_group,21-30,0.20738872132606442,67.0,0.7528089887640449,82316.23850095076,22.0,0.24719101123595505,13586.233447603341,289.0,331406.6677005424
363,L'utilisation de contraceptifs peut entraîner des problèmes cardiaques soudains.,age_group,31-45,-0.13402343762167362,77.0,0.6416666666666667,87299.46508137016,43.0,0.35833333333333334,180460.49350305536,386.0,695109.975351204
